ROW,COL,GALAXY
3,4,UGC09711
3,3,UGC05108
3,2,IC3598
3,1,UGC05771
2,3,UGC08107
2,2,NGC4003
1,4,UGC09629
1,3,NGC3106
1,2,UGC06036
1,1,NGC5157


