ROW,COL,GALAXY
2,4,UGC08004
2,3,NGC4211NED02
2,2,UGC07145
2,1,UGC09067
1,4,NGC5519
1,3,UGC09199
1,2,UGC08267
1,1,UGC05498NED01

