ROW,COL,GALAXY                         
3, 4, UGC05498NED01
2, 4, UGC09711
3, 3, IC0674
2, 3 , NGC3160
3,2, UGC06312
2,2, UGC08107
3, 1, UGC06036
2,1, NGC3106
1,1, NGC5157
